Title,Year,Age,Rating,Netflix,Hulu,Prime Video,Disney+
Icarus,2017,18+,75/100,1,0,0,0
Collateral Beauty,2016,13+,75/100,1,0,0,0
The Danish Girl,2015,18+,75/100,1,0,0,0
Green Zone,2010,18+,75/100,1,0,1,0
John Mulaney: New in Town,2012,18+,75/100,1,0,0,0
Strong Island,2017,,75/100,1,0,0,0
The White Tiger,2021,18+,75/100,1,0,0,0
Defiance,2008,18+,75/100,1,0,0,0
A Fortunate Man,2018,16+,75/100,1,0,0,0
The Death of Stalin,2017,18+,75/100,1,0,0,0
2012,2009,13+,75/100,1,1,0,0
Underworld: Awakening,2012,18+,74/100,1,1,0,0
Philomena,2013,13+,74/100,1,0,0,0
Sanju,2018,18+,74/100,1,0,0,0
Nappily Ever After,2018,18+,74/100,1,0,0,0
I Care a Lot,2021,18+,74/100,1,0,0,0
The Butler,2013,13+,74/100,1,0,0,0
Qarib Qarib Singlle,2017,,74/100,1,0,0,0
A Single Man,2009,18+,74/100,1,0,0,0
Home,2015,7+,74/100,1,0,1,0
Zack and Miri Make a Porno,2008,18+,74/100,1,1,1,0
Seeing Allred,2018,16+,74/100,1,0,0,0
Dostana,2008,13+,74/100,1,0,0,0
Remember Me,2010,13+,74/100,1,0,0,0
Underworld: Rise of the Lycans,2009,18+,74/100,1,0,0,0
The Lovely Bones,2009,13+,74/100,1,0,0,0
Madagascar: Escape 2 Africa,2008,7+,74/100,1,0,0,0
No Strings Attached,2011,18+,74/100,1,0,1,0
Heroin(e),2017,,74/100,1,0,0,0
A Ghost Story,2017,18+,74/100,1,0,0,0
Safety Not Guaranteed,2012,18+,74/100,1,0,0,0
Game Over,2019,13+,74/100,1,0,0,0
Peppermint,2018,18+,74/100,1,0,0,0
Have a Good Trip: Adventures in Psychedelics,2020,18+,74/100,1,0,0,0
Beasts of No Nation,2015,18+,74/100,1,0,0,0
Extinction,2018,18+,74/100,1,0,0,0
Nobody Knows I'm Here,2020,18+,74/100,1,0,0,0
ARQ,2016,18+,74/100,1,0,0,0
Ali's Wedding,2017,18+,74/100,1,0,0,0
Bo Burnham: Make Happy,2016,18+,74/100,1,0,0,0
Mank,2020,18+,74/100,1,0,0,0
"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74/100,1,0,0,0
Due Date,2010,18+,74/100,1,0,0,0
Between Two Ferns: The Movie,2019,18+,74/100,1,0,0,0
Ip Man 2,2010,18+,74/100,1,0,0,0
Mirage,2018,18+,74/100,1,0,0,0
Puss in Boots,2011,7+,74/100,1,0,0,0
Austin Powers in Goldmember,2002,13+,74/100,1,0,0,0
The Kissing Booth,2018,16+,73/100,1,0,0,0
Hush,2016,18+,73/100,1,0,0,0
Lost Bullet,2020,18+,73/100,1,0,0,0
Dil Chahta Hai,2001,all,73/100,1,0,0,0
Election,1999,18+,73/100,1,0,1,0
Soni,2019,18+,73/100,1,0,0,0
Bāhubali: The Beginning,2015,13+,73/100,1,0,0,0
Killing Them Softly,2012,18+,73/100,1,0,0,0
Swordfish,2001,18+,73/100,1,0,0,0
Wish Dragon,2021,7+,73/100,1,0,0,0
Raees,2017,18+,73/100,1,0,0,0
Let It Snow,2019,13+,73/100,1,0,0,0
The Babysitter: Killer Queen,2020,,73/100,1,0,0,0
Hardcore Henry,2015,18+,73/100,1,0,0,0
Tig Notaro: Happy To Be Here,2018,16+,73/100,1,0,0,0
Spelling the Dream,2020,all,73/100,1,0,0,0
Knock Down the House,2019,7+,73/100,1,0,0,0
Resident Evil: Extinction,2007,18+,73/100,1,1,0,0
Polar,2019,18+,73/100,1,0,0,0
Saving Capitalism,2017,7+,73/100,1,0,0,0
The Untold Tales of Armistead Maupin,2017,,73/100,1,0,0,0
The Mitchells vs. The Machines,2021,7+,73/100,1,0,0,0
Spenser Confidential,2020,18+,73/100,1,0,0,0
Psychokinesis,2018,,73/100,1,0,0,0
Monsters vs Aliens,2009,7+,73/100,1,0,0,0
Twilight,2008,13+,73/100,1,0,1,0
Self/less,2015,13+,73/100,1,0,0,0
The Highwaymen,2019,18+,73/100,1,0,0,0
ParaNorman,2012,7+,73/100,1,0,0,0
Holidate,2020,,73/100,1,0,0,0
Fear Street Part Two: 1978,2021,18+,73/100,1,0,0,0
Pee-wee's Big Holiday,2016,7+,73/100,1,0,0,0
Gunpowder Milkshake,2021,18+,73/100,1,0,0,0
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73/100,1,0,0,0
I Am Not Your Negro,2017,18+,73/100,1,1,0,0
Midnight Special,2016,13+,73/100,1,0,0,0
Layla M.,2016,,73/100,1,0,0,0
Homefront,2013,18+,73/100,1,0,0,0
The Squid and the Whale,2005,18+,73/100,1,0,0,0
Comedian,2002,18+,73/100,1,0,0,0
No Escape,2015,18+,73/100,1,0,0,0
Mercury 13,2018,,73/100,1,0,0,0
The Professor and the Madman,2019,,73/100,1,0,0,0
Asperger's Are Us,2016,,73/100,1,0,0,0
The Garden of Words,2013,13+,73/100,1,0,0,0
Fractured,2019,18+,73/100,1,0,1,0
The Queen,2006,13+,73/100,1,0,0,0
The Whole Nine Yards,2000,18+,72/100,1,0,0,0
E-Team,2014,,72/100,1,0,0,0
The Discovery,2017,18+,72/100,1,0,0,0
The Strangers,2008,18+,72/100,1,0,0,0
Penguins of Madagascar,2014,7+,72/100,1,0,0,0
She's Out of My League,2010,18+,72/100,1,0,1,0
Voyeur,2017,18+,72/100,1,0,0,0
It Comes at Night,2017,18+,72/100,1,0,0,0
The Manchurian Candidate,2004,18+,72/100,1,0,1,0
Bon Cop Bad Cop 2,2017,,72/100,1,0,0,0
Hot Rod,2007,13+,72/100,1,0,1,0
The BFG,2016,7+,72/100,1,0,0,0
Sunday's Illness,2018,13+,72/100,1,0,0,0
The Lorax,2012,7+,72/100,1,1,0,0
Win It All,2017,18+,72/100,1,0,0,0
Mile 22,2018,18+,72/100,1,0,0,0
Tenacious D in The Pick of Destiny,2006,18+,72/100,1,0,0,0
The Sum of All Fears,2002,13+,72/100,1,0,0,0
G.O.R.A.,2004,13+,72/100,1,0,0,0
The Perfect Date,2019,16+,72/100,1,0,0,0
Code 8,2019,,72/100,1,0,0,0
Cowspiracy: The Sustainability Secret,2014,,72/100,1,0,0,0
Life As We Know It,2010,13+,72/100,1,0,0,0
American Assassin,2017,18+,72/100,1,0,0,0
August: Osage County,2013,18+,72/100,1,0,0,0
Kuch Kuch Hota Hai,1998,all,72/100,1,0,0,0
Who Am I,2014,,72/100,1,0,0,0
Free State of Jones,2016,18+,72/100,1,0,0,0
Beast Stalker,2008,,72/100,1,0,0,0
Dark Skies,2013,16+,72/100,1,0,0,0
Safe Haven,2013,13+,72/100,1,0,0,0
Bāhubali 2: The Conclusion,2017,7+,72/100,1,0,0,0
Outlaw King,2018,18+,72/100,1,0,0,0
